1.4,187.540,-109.243,22.217,-73.637
1.5,190.698,-117.397,39.838,-69.743
1.6,206.830,-112.271,67.957,-53.657
1.7,223.832,-98.710,101.832,114.677
1.8,184.057,-92.659,125.789,119.186
1.9,177.250,-75.781,155.356,94.043
2,170.862,-57.965,151.550,30.554
2.1,171.163,-40.358,123.039,24.989
2.2,173.440,-23.681,100.971,22.481
2.3,177.115,-8.663,83.939,22.069
2.4,180.947,4.220,70.772,23.005
2.5,185.431,14.523,60.767,24.728
2.6,171.573,19.183,52.870,26.830
2.7,178.315,15.056,65.121,29.027
2.8,180.026,11.476,72.858,31.134
2.9,181.938,8.577,78.751,33.039
3,184.258,6.320,83.260,34.693
3.1,186.860,4.597,86.674,36.084
3.2,189.577,3.298,89.218,37.226
3.3,192.262,2.331,91.073,38.149
3.4,194.793,1.621,92.397,38.887
3.5,197.066,1.105,93.342,39.472
3.6,199.006,0.733,94.041,39.934
3.7,200.592,0.467,94.584,40.300
3.8,201.301,0.261,95.118,40.588
3.9,202.235,0.136,95.486,40.816
4,202.557,0.090,96.016,40.996
4.1,203.122,0.039,96.263,41.139
4.2,203.578,0.009,96.460,41.253
4.3,203.966,-0.006,96.613,41.343
4.4,204.327,-0.012,96.726,41.416
4.5,204.703,-0.014,96.799,41.474
4.6,205.097,-0.014,96.837,41.521
4.7,205.436,-0.012,96.857,41.559
4.8,205.672,-0.009,96.875,41.592
4.9,205.817,-0.005,96.896,41.617
5,205.898,0.000,96.917,41.637
